Date,State,State_resident_number
03/23/2020,TN,43587
03/23/2020,TX,396597
03/23/2020,UT,1670691
03/23/2020,VA,139370
03/23/2020,VI,373430
03/23/2020,VT,573
03/23/2020,WA,17222
03/23/2020,WI,271470
03/23/2020,WV,258020
03/23/2020,WY,79887
03/30/2020,AK,24605
03/30/2020,AL,21736
03/30/2020,AR,356452
03/30/2020,AS,196171
03/30/2020,AZ,12
03/30/2020,CA,301586
03/30/2020,CO,1273179
03/30/2020,CT,228815
03/30/2020,DC,121764
03/30/2020,DE,20701
03/30/2020,FL,39443
03/30/2020,GA,1140065
03/30/2020,GU,582467
03/30/2020,HI,319
03/30/2020,IA,51347
03/30/2020,ID,189406
03/30/2020,IL,68154
03/30/2020,IN,608111
03/30/2020,KS,338354
03/30/2020,KY,191521
03/30/2020,LA,225573
03/30/2020,MA,266037
03/30/2020,MD,209541
03/30/2020,ME,225080
03/30/2020,MI,39797
03/30/2020,MN,414354
03/30/2020,MO,250379
03/30/2020,MP,348514
03/30/2020,MS,6
03/30/2020,MT,190590
03/30/2020,NC,35258
03/30/2020,ND,505705
03/30/2020,NE,37590
03/30/2020,NH,115455
03/30/2020,NJ,49669
03/30/2020,NM,342035
03/30/2020,NV,75850
03/30/2020,NY,124041
03/30/2020,OH,675221
03/30/2020,OK,581407
03/30/2020,OR,254112
03/30/2020,PA,148431
03/30/2020,PR,503227
03/30/2020,RI,46208
03/30/2020,SC,35883
03/30/2020,SD,284303
03/30/2020,TN,41839
03/30/2020,TX,376571
03/30/2020,UT,1578490
03/30/2020,VA,131051
03/30/2020,VI,352813
03/30/2020,VT,425
03/30/2020,WA,16159
03/30/2020,WI,262572
03/30/2020,WV,253171
03/30/2020,WY,77531
04/06/2020,AK,23943
04/06/2020,AL,21550
04/06/2020,AR,362229
04/06/2020,AS,202447
04/06/2020,AZ,10
04/06/2020,CA,299918
04/06/2020,CO,1232274
04/06/2020,CT,228741
04/06/2020,DC,124700
04/06/2020,DE,20914
04/06/2020,FL,40079
04/06/2020,GA,1119953
04/06/2020,GU,592518
04/06/2020,HI,315
04/06/2020,IA,50961
04/06/2020,ID,191011
04/06/2020,IL,70063
04/06/2020,IN,620946
04/06/2020,KS,353027
04/06/2020,KY,172899
04/06/2020,LA,232770
04/06/2020,MA,273451
04/06/2020,MD,211220
04/06/2020,ME,228464
04/06/2020,MI,41157
04/06/2020,MN,416586
04/06/2020,MO,250954
04/06/2020,MP,351870
04/06/2020,MS,1
04/06/2020,MT,193423
04/06/2020,NC,36358
04/06/2020,ND,524684
04/06/2020,NE,37537
04/06/2020,NH,115785
04/06/2020,NJ,50874
04/06/2020,NM,348726
04/06/2020,NV,73223
04/06/2020,NY,121075
04/06/2020,OH,673387
04/06/2020,OK,607279
04/06/2020,OR,260862
04/06/2020,PA,153279
04/06/2020,PR,513291
04/06/2020,RI,45416
04/06/2020,SC,37229
04/06/2020,SD,286102
04/06/2020,TN,41235
04/06/2020,TX,386128
04/06/2020,UT,1613427
04/06/2020,VA,134492
04/06/2020,VI,360089
04/06/2020,VT,317
04/06/2020,WA,15980
04/06/2020,WI,270185
04/06/2020,WV,259785
04/06/2020,WY,80529
04/13/2020,AK,24325
04/13/2020,AL,18717
04/13/2020,AR,331801
04/13/2020,AS,179848
04/13/2020,AZ,12
04/13/2020,CA,256535
04/13/2020,CO,1109427
04/13/2020,CT,195997
04/13/2020,DC,109981
04/13/2020,DE,18865
04/13/2020,FL,33428
04/13/2020,GA,939370
04/13/2020,GU,536203
04/13/2020,HI,293
04/13/2020,IA,44690
04/13/2020,ID,166263
04/13/2020,IL,61803
04/13/2020,IN,518203
04/13/2020,KS,286742
04/13/2020,KY,152302
04/13/2020,LA,196447
04/13/2020,MA,245198
04/13/2020,MD,183040
04/13/2020,ME,201115
04/13/2020,MI,36333
04/13/2020,MN,346244
04/13/2020,MO,207026
04/13/2020,MP,311445
04/13/2020,MS,3
04/13/2020,MT,177916
04/13/2020,NC,32047
04/13/2020,ND,458811
04/13/2020,NE,32391
04/13/2020,NH,100534
04/13/2020,NJ,43047
04/13/2020,NM,312075
04/13/2020,NV,61345
04/13/2020,NY,108380
04/13/2020,OH,604666
04/13/2020,OK,486600
04/13/2020,OR,228384
04/13/2020,PA,134820
04/13/2020,PR,440293
04/13/2020,RI,49995
04/13/2020,SC,31557
04/13/2020,SD,255609
04/13/2020,TN,35616
04/13/2020,TX,342058
04/13/2020,UT,1410708
04/13/2020,VA,122622
04/13/2020,VI,315665
04/13/2020,VT,339
04/13/2020,WA,14252
04/13/2020,WI,239404
04/13/2020,WV,218429
04/13/2020,WY,70567
04/20/2020,AK,20645
04/20/2020,AL,21856
04/20/2020,AR,364460
04/20/2020,AS,200913
04/20/2020,AZ,10
04/20/2020,CA,296257
04/20/2020,CO,1270775
04/20/2020,CT,226793
04/20/2020,DC,120055
04/20/2020,DE,20425
04/20/2020,FL,38514
04/20/2020,GA,1138349
04/20/2020,GU,599986
04/20/2020,HI,297
04/20/2020,IA,50868
04/20/2020,ID,188385
04/20/2020,IL,70263
04/20/2020,IN,599772
04/20/2020,KS,339298
04/20/2020,KY,174216
04/20/2020,LA,222953
04/20/2020,MA,275170
04/20/2020,MD,205006
04/20/2020,ME,222540
04/20/2020,MI,40650
04/20/2020,MN,407760
04/20/2020,MO,255369
04/20/2020,MP,351543
04/20/2020,MS,3
04/20/2020,MT,197285
04/20/2020,NC,36240
04/20/2020,ND,515853
04/20/2020,NE,37527
04/20/2020,NH,113269
04/20/2020,NJ,49384
04/20/2020,NM,344325
04/20/2020,NV,72869
04/20/2020,NY,122563
04/20/2020,OH,674500
04/20/2020,OK,583826
04/20/2020,OR,264450
04/20/2020,PA,150365
04/20/2020,PR,495480
04/20/2020,RI,44446
04/20/2020,SC,35435
04/20/2020,SD,287343
04/20/2020,TN,40355
04/20/2020,TX,382147
04/20/2020,UT,1611174
04/20/2020,VA,133233
04/20/2020,VI,353153
04/20/2020,VT,338
04/20/2020,WA,15894
04/20/2020,WI,267453
04/20/2020,WV,256837
04/20/2020,WY,78294
04/27/2020,AK,23212
04/27/2020,AL,21280
04/27/2020,AR,361016
04/27/2020,AS,198089
04/27/2020,AZ,9
04/27/2020,CA,290785
04/27/2020,CO,1245271
04/27/2020,CT,228553
04/27/2020,DC,121410
04/27/2020,DE,20035
04/27/2020,FL,38164
04/27/2020,GA,1136702
04/27/2020,GU,602433
04/27/2020,HI,1514
04/27/2020,IA,50252
04/27/2020,ID,187541
04/27/2020,IL,70196
04/27/2020,IN,608546
04/27/2020,KS,342190
04/27/2020,KY,171688
04/27/2020,LA,224538
04/27/2020,MA,272045
04/27/2020,MD,205031
04/27/2020,ME,224212
04/27/2020,MI,39907
04/27/2020,MN,423967
04/27/2020,MO,249730
04/27/2020,MP,353613
04/27/2020,MS,9
04/27/2020,MT,194969
04/27/2020,NC,36497
04/27/2020,ND,514874
04/27/2020,NE,37660
04/27/2020,NH,112903
04/27/2020,NJ,49417
04/27/2020,NM,358578
04/27/2020,NV,70083
04/27/2020,NY,120265
04/27/2020,OH,694304
04/27/2020,OK,590969
04/27/2020,OR,261829
04/27/2020,PA,149678
04/27/2020,PR,507765
04/27/2020,RI,66374
04/27/2020,SC,35122
04/27/2020,SD,285103
04/27/2020,TN,40741
04/27/2020,TX,385816
04/27/2020,UT,1610578
04/27/2020,VA,131250
04/27/2020,VI,348904
04/27/2020,VT,536
04/27/2020,WA,15955
04/27/2020,WI,263697
04/27/2020,WV,258993
04/27/2020,WY,79194
05/04/2020,AK,23217
05/04/2020,AL,22844
05/04/2020,AR,385583
05/04/2020,AS,210476
05/04/2020,AZ,3
05/04/2020,CA,310218
05/04/2020,CO,1334646
